source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,latitude,longitude
25455259,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2e_100yr,5.285e+06,,,660,MW,0.376,2.174e+06,MWh,,,Thar Block II power station,coal,24.8125,70.3941
25455259,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,n2o,,,field_not_modeled,660,MW,0.243,1.405e+06,MWh,,,Thar Block II power station,coal,24.8125,70.3941
25455259,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2,3.416e+06,2.431,T of CO2 per MWh,660,MW,0.243,1.405e+06,MWh,,,Thar Block II power station,coal,24.8125,70.3941
25455259,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,ch4,,,field_not_modeled,660,MW,0.243,1.405e+06,MWh,,,Thar Block II power station,coal,24.8125,70.3941
25455259,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2e_20yr,3.416e+06,,,660,MW,0.243,1.405e+06,MWh,,,Thar Block II power station,coal,24.8125,70.3941
25455259,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2e_100yr,3.416e+06,,,660,MW,0.243,1.405e+06,MWh,,,Thar Block II power station,coal,24.8125,70.3941
25455608,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,n2o,,,field_not_modeled,660,MW,0.243,1.405e+06,MWh,,,Port Qasim Lucky power station,coal,24.8128,67.2746
25455608,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2,3.416e+06,2.431,T of CO2 per MWh,660,MW,0.243,1.405e+06,MWh,,,Port Qasim Lucky power station,coal,24.8128,67.2746
25455608,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,ch4,,,field_not_modeled,660,MW,0.243,1.405e+06,MWh,,,Port Qasim Lucky power station,coal,24.8128,67.2746
25455608,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2e_20yr,3.416e+06,,,660,MW,0.243,1.405e+06,MWh,,,Port Qasim Lucky power station,coal,24.8128,67.2746
25455608,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2e_100yr,3.416e+06,,,660,MW,0.243,1.405e+06,MWh,,,Port Qasim Lucky power station,coal,24.8128,67.2746
18656931,PAK,cement,1-1-2021,12-31-2021,Yearly,n2o,,,field_not_modeled,8e+06,T of cement,0.45416666666666666,313242,T of cement,,,Karachi cement plant (0022),Dry,25.053071,67.494014
